train error: 13510723304.19212, validation error: 368296592820.6967
train error: 1.1337485129612388e+27, validation error: 2.1788367311996132e+27
train error: 8.246244703426589e+39, validation error: 8.391431924877655e+39
train error: 1.3936753869252644e+27, validation error: 2.6717898392240475e+27
train error: 1.1699568121604336e+39, validation error: 1.1905550232535085e+39
train error: 3.4177239482262834e+38, validation error: 3.478240069300629e+38
train error: 1.9960507959098387e+40, validation error: 2.0311978631809274e+40
train error: 3.4205978938418974e+39, validation error: 3.480820354851353e+39
train error: 1.4090306050303412e+31, validation error: 2.6645568296077653e+31
gen: 5 best:381807316124.88885
train error: 3.902558326202149e+39, validation error: 3.9712713839536643e+39
train error: 3.4387797531738704e+27, validation error: 6.592422407033613e+27
train error: 3.895170433326488e+31, validation error: 7.369179503644103e+31
train error: 2.568811360919815e+40, validation error: 2.6140012148855435e+40
train error: 1.6816944310355464e+31, validation error: 3.1814557152012532e+31
train error: 2.356237892296352e+25, validation error: 4.567328323314428e+25
train error: 1.5020526541294502e+28, validation error: 2.879612250536367e+28
train error: 5.851058323922206e+29, validation error: 1.1069366528190534e+30
train error: 1.969578331668382e+39, validation error: 2.0043129647577305e+39
train error: 2.347414838859635e+40, validation error: 2.388744583728373e+40
train error: 6.586626114382614e+19, validation error: 2.5028402949401166e+19
train error: 1.758299906791127e+38, validation error: 1.7892530358705953e+38
train error: 3.1735458360290675e+26, validation error: 6.128966644559219e+26
train error: 1.526366757919209e+39, validation error: 1.553240725662413e+39
train error: 7.3939331741659e+29, validation error: 1.403953288265615e+30
gen: 6 best:381807316124.88885
train error: 1.7327847827797956e+31, validation error: 3.278179795262189e+31
train error: 9.567296609313396e+39, validation error: 9.735740833290513e+39
train error: 2.005679881369576e+25, validation error: 3.893962311051128e+25
train error: 1.5361795858755584e+25, validation error: 3.005771032309631e+25
train error: 5.641989019793355e+30, validation error: 1.0674772501734682e+31
train error: 8.376411806873924e+39, validation error: 8.52389337423226e+39
train error: 3.1333478108174756e+31, validation error: 5.922764997146113e+31
train error: 1.5436354604335186e+40, validation error: 1.5708134874280282e+40
train error: 2.4495865441751587e+39, validation error: 2.492901928026778e+39
train error: 2.3126256780273977e+30, validation error: 4.374541836830076e+30
train error: 1.1402402246616075e+40, validation error: 1.1603231030215626e+40
train error: 3.194617534236961e+39, validation error: 3.2509805354470503e+39
train error: 8.158394474050358e+23, validation error: 1.5572786917880235e+24
train error: 9.628697804430803e+39, validation error: 9.798225399063302e+39
train error: 2.702017498049371e+31, validation error: 5.115590152716794e+31
gen: 7 best:381807316124.88885
train error: 5.924665092513606e+24, validation error: 1.1475651796305426e+25
train error: 1.7188357969148947e+24, validation error: 3.335804738283613e+24
train error: 2.9264355509896227e+40, validation error: 2.977934672617968e+40
train error: 3.554200463676919e+39, validation error: 3.616777424938716e+39
train error: 1.3937811752321301e+40, validation error: 1.418320737381811e+40
train error: 2.220396833572271e+24, validation error: 4.349895923722425e+24
train error: 7.950125591307343e+27, validation error: 1.521685245116161e+28
train error: 1.8658717451549617e+39, validation error: 1.8987210721001615e+39
train error: 1.1683891548354202e+40, validation error: 1.1889744627242576e+40
train error: 2.502878493328454e+40, validation error: 2.5468955213763094e+40
train error: 1.6305905353914823e+28, validation error: 3.128411236153007e+28
train error: 5.555638520998096e+39, validation error: 5.653738731692372e+39
train error: 4.018156646127858e+31, validation error: 7.601936463619805e+31
train error: 9.20959177720805e+30, validation error: 1.7423324884296697e+31
train error: 2.0654298757069426e+31, validation error: 3.901939386406028e+31
gen: 8 best:381807316124.88885
train error: 2.9155862296384134e+31, validation error: 5.51105585743377e+31
train error: 3.464500663393943e+29, validation error: 6.55455225141151e+29
train error: 1.5600268267288075e+25, validation error: 2.9192050929218653e+25
train error: 1.5833036927100062e+31, validation error: 2.995420732075431e+31
train error: 3.015306214929654e+24, validation error: 5.699380163021248e+24
train error: 5.388912060101744e+39, validation error: 5.483796854828428e+39
train error: 1.613061716652146e+39, validation error: 1.641462078492302e+39
train error: 3.8778127590393815e+31, validation error: 7.336378705256462e+31
train error: 1.1074412045531143e+31, validation error: 2.0951352104389807e+31
train error: 1.2355206339288523e+30, validation error: 2.3374368745626032e+30
train error: 3.225388138300197e+39, validation error: 3.282175891618374e+39
train error: 2.0446597674451388e+40, validation error: 2.0806590550292254e+40
train error: 1.3761492486908426e+24, validation error: 2.6936717010309797e+24
train error: 1.5176241432521588e+39, validation error: 1.5443926665616812e+39
train error: 3.4586978670316665e+27, validation error: 6.643363071699356e+27
gen: 9 best:381807316124.88885
train error: 3.9981652226314934e+39, validation error: 4.068470364940285e+39
train error: 1.281566932329004e+31, validation error: 2.4247417934834905e+31
train error: 5.056508081765979e+30, validation error: 9.566486144171952e+30
train error: 2.3738111261259643e+40, validation error: 2.4156044821435625e+40
train error: 2.368875609738325e+39, validation error: 2.4107677144855835e+39
train error: 1.1127174221673411e+21, validation error: 2.1745299416768137e+21
train error: 8.115920461411969e+23, validation error: 1.5485179689946997e+24
train error: 3.2638824538869354e+27, validation error: 6.260387105513935e+27
train error: 3.0157418531344296e+31, validation error: 5.700668884235711e+31
train error: 6.307610872975521e+30, validation error: 1.1933642921140316e+31
train error: 6.389902038183774e+23, validation error: 1.2549436840669022e+24
train error: 2.8672914185603317e+40, validation error: 2.9177922468450217e+40
train error: 2.134655726290213e+39, validation error: 2.1722395672726392e+39
train error: 1.2309497807784812e+40, validation error: 1.252622332271459e+40
train error: 1.6046476924617878e+30, validation error: 3.0359773105023853e+30
gen: 10 best:381807316124.88885
train error: 1.1251955844531748e+31, validation error: 2.1321703478659624e+31
train error: 224887417029.78018, validation error: 404780226599.41943
train error: 6.3976402765789e+39, validation error: 6.51048231229803e+39
train error: 6.925375841206381e+24, validation error: 1.3355408733199205e+25
train error: 2.71833714370422e+40, validation error: 2.7661553462478344e+40
train error: 4.6549715654140644e+29, validation error: 8.80617619712746e+29
train error: 2.3763647287596756e+23, validation error: 4.692680482211364e+23
train error: 2.2417464641298184e+31, validation error: 4.242654238319058e+31
train error: 7.644486776382155e+21, validation error: 1.4939416029280338e+22
train error: 5.655393156125988e+39, validation error: 5.754964791412475e+39
train error: 2.277196210084437e+40, validation error: 2.3172896488868996e+40
train error: 1.543781437357954e+38, validation error: 1.5707049462372786e+38
train error: 1.7645217739144306e+38, validation error: 1.7955888227653256e+38
train error: 8.97381379487145e+21, validation error: 1.7522719496787169e+22
train error: 3.038650218056319e+30, validation error: 5.748845207753394e+30
gen: 11 best:381807316124.88885
train error: 4.2202213361126903e+27, validation error: 8.090574589502744e+27
train error: 5.724861255487913e+39, validation error: 5.825514628199086e+39
train error: 4.734972018861618e+23, validation error: 9.136555624535524e+23
train error: 1.7003585213236954e+39, validation error: 1.7301920144664968e+39
